,invoice_no,category,item,quantity,price,customer_id,date_key,payment_method,card_type,shopping_mall,city,province_state,country,first_name,last_name,gender,age,dob,is_churned,days_since_last_purchase,tenure,discount_used,last_purchase_date,purchase_frequency,avg_purchase_value,day_of_week,month,year,quarter,is_holiday,total_spent,purchase_count
0,100000,Hair Care,Hair Oil,1,17.45,398,2023-03-22,Credit Card - MasterCard,MasterCard,Mall of America,Bloomington,Minnesota,US,Tiffany,Thomas,Female,25.0,1999-07-13,1.0,1056.0,8.0,0.0,2021-08-15,30.0,280.82,Wednesday,March,2023,2023Q1,0,330.86,10
1,100001,Body Care and Hygiene,Deodorant,4,20.81,938,2024-04-06,Apple Pay,,Fashion Show Mall,Las Vegas,Nevada,US,Angela,Wolf,Male,30.0,1995-01-18,1.0,1494.0,1.0,0.0,2020-01-19,30.0,52.4,Saturday,April,2024,2024Q2,1,421.84,14
2,100002,Skin Care,Face Wash,4,40.96,258,2022-05-31,Google Pay,,Lakeside Shopping Centre,Thurrock,Essex,UK,Jonathan,Russell,Female,22.0,2002-10-11,0.0,386.0,6.0,1.0,2021-04-06,42.0,165.9,Tuesday,May,2022,2022Q2,0,291.27,10
3,100003,Body Care and Hygiene,Body Lotion,2,27.5,892,2021-01-01,Google Pay,,Bullring & Grand Central,Birmingham,West Midlands,UK,Nicholas,Smith,Other,32.0,1992-12-29,0.0,482.0,3.0,1.0,2022-05-17,28.0,427.81,Friday,January,2021,2021Q1,0,131.45,6
4,100004,Oral Care,Toothpaste,1,16.43,978,2020-02-10,Cash,,The Galleria at Fort Lauderdale,Fort Lauderdale,Florida,US,Tara,Adams,Other,35.0,1989-08-17,0.0,1309.0,2.0,1.0,2023-01-28,31.0,321.2,Monday,February,2020,2020Q1,0,425.17,14
5,100005,Body Care and Hygiene,Hand Sanitizer,2,10.48,426,2024-04-07,Credit Card - Visa,Visa,Cherry Creek Shopping Center,Denver,Colorado,US,Jamie,Gray,Other,29.0,1996-02-02,0.0,1516.0,7.0,0.0,2022-08-30,6.0,467.49,Sunday,April,2024,2024Q2,1,381.05,13
6,100006,Skin Care,Moisturizer,3,43.91,509,2021-03-05,Debit Card - MasterCard,MasterCard,Pheasant Lane Mall,Nashua,New Hampshire,US,Katherine,Anderson,Male,37.0,1988-01-09,1.0,593.0,4.0,1.0,2023-11-19,25.0,252.29,Friday,March,2021,2021Q1,0,137.04,5
7,100007,Skin Care,Face Wash,4,10.75,242,2023-04-01,Cash,,Town Center at Boca Raton,Boca Raton,Florida,US,Lawrence,Nixon,Other,58.0,1966-10-12,1.0,1693.0,9.0,1.0,2023-12-16,11.0,285.01,Saturday,April,2023,2023Q2,1,250.12,9
8,100008,Body Care and Hygiene,Body Lotion,3,20.2,276,2022-04-03,Debit Card - Visa,Visa,Meadowhall,Sheffield,South Yorkshire,UK,Andrew,Valdez,Other,63.0,1961-12-31,1.0,782.0,2.0,1.0,2022-03-16,26.0,352.41,Sunday,April,2022,2022Q2,1,371.14,10
9,100009,Hair Care,Shampoo,4,5.46,568,2023-05-14,Debit Card - MasterCard,MasterCard,Lakeside Shopping Centre,Thurrock,Essex,UK,Connie,Mathis,Male,37.0,1987-10-23,1.0,389.0,6.0,0.0,2021-01-31,49.0,484.24,Sunday,May,2023,2023Q2,1,596.21,21
